,07.02.2025 18:59:34,07.02.2025 19:23:57
06.03 - 13.03,3906,3906
20.03 - 27.03,3999,3999
27.03 - 03.04,3681,3681
10.04 - 17.04,3905,3905
17.04 - 24.04,4403,4403
24.04 - 01.05,4161,4161
01.05 - 08.05,4112,4112
08.05 - 15.05,3969,3969
15.05 - 22.05,3846,3846
22.05 - 29.05,3670,3670
29.05 - 05.06,3711,3711
05.06 - 12.06,3749,3749
12.06 - 19.06,3783,3783
19.06 - 26.06,3779,3779
03.07 - 10.07,3960,3960
10.07 - 17.07,3751,3751
17.07 - 24.07,3726,3726
24.07 - 31.07,3783,3783
31.07 - 07.08,3619,3619
07.08 - 14.08,4095,4095
14.08 - 21.08,3619,3619
21.08 - 28.08,3854,3854
28.08 - 04.09,3587,3587
04.09 - 11.09,3523,3523
11.09 - 18.09,3712,3712
18.09 - 25.09,3924,3924
25.09 - 02.10,3758,3758
02.10 - 09.10,3466,3466
09.10 - 16.10,3586,3586
16.10 - 23.10,3280,3280
